run,seconds
0,0.020959
0,0.017747
0,0.019966
0,0.021106
0,0.024722
0,0.023183
0,0.028264
0,0.020940
0,0.017553
0,0.020088
0,0.017116
0,0.017831
0,0.016241
0,0.019402
0,0.024589
0,0.027980
0,0.020931
0,0.019606
0,0.017472
0,0.018756
0,0.017222
0,0.017483
0,0.017926
0,0.019296
0,0.022346
0,0.018888
0,0.023342
0,0.028138
0,0.023964
0,0.018923
0,0.022461
0,0.021309
0,0.023268
0,0.026008
0,0.021909
0,0.020948
0,0.017012
0,0.017085
0,0.018276
0,0.018048
0,0.017448
0,0.016165
0,0.017941
0,0.023246
0,0.023691
0,0.031654
0,0.019311
0,0.022228
0,0.018278
0,0.018122
0,0.018148
0,0.016911
0,0.022322
0,0.019628
0,0.016570
0,0.019840
0,0.018954
0,0.019638
0,0.019498
0,0.017145
0,0.020665
0,0.016178
0,0.017118
0,0.022014
0,0.022493
0,0.028494
0,0.022069
0,0.022811
0,0.021123
0,0.019445
0,0.017167
0,0.019342
0,0.016902
0,0.019212
0,0.017343
0,0.018471
0,0.018393
0,0.020782
0,0.021357
0,0.017953
0,0.021646
0,0.027639
0,0.026452
0,0.020502
0,0.026279
0,0.019068
0,0.019745
0,0.020842
0,0.017510
0,0.020970
0,0.017591
0,0.021097
0,0.021298
0,0.019279
0,0.022491
0,0.018316
0,0.019178
0,0.020626
0,0.018961
0,0.017958
0,0.018884
0,0.018244
0,0.021628
0,0.018500
0,0.027155
0,0.019212
0,0.019479
0,0.021442
0,0.020228
0,0.022765
0,0.025176
0,0.021866
0,0.021263
0,0.018707
0,0.018284
0,0.015728
0,0.018418
0,0.021942
0,0.025065
0,0.024748
0,0.021176
0,0.018845
0,0.022942
0,0.022997
0,0.021279
0,0.017147
0,0.019344
0,0.020857
0,0.018568
0,0.019324
